date,nav,scheme_code,scheme_name,fund_house
08-04-2024,54.94000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-04-2024,54.59000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-04-2024,54.58000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-04-2024,54.41000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-04-2024,54.47000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-04-2024,54.44000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
31-03-2024,54.11000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-03-2024,54.12000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-03-2024,53.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-03-2024,53.27000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-03-2024,53.26000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-03-2024,52.96000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-03-2024,52.38000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-03-2024,52.28000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-03-2024,52.83000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
15-03-2024,52.74000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-03-2024,53.01000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-03-2024,52.62000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-03-2024,53.49000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-03-2024,53.59000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-03-2024,53.84000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-03-2024,53.76000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-03-2024,53.53000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-03-2024,53.63000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-03-2024,53.53000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-02-2024,52.87000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-02-2024,52.72000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
